Station_Name,Station_Id_C,Lat,Lon,Alti,Year,Mon,Day,Hour,TEM,DPT,RHU,PRE_1h,WIN_D_INST,WIN_S_INST,GST
宁乡,57678,28.2544,112.555,74.7,2020,9,1,0,27.2,23.7,81,0,336,2.3,33.6
邕宁,59435,22.6833,108.45,106.9,2020,9,1,0,27.2,25.2,89,0,239,1,32.9
贵定,57824,26.5883,107.2489,1056.2001,2020,9,1,0,19.4,18.9,97,0,80,0.8,22.5
温州,58659,28.0333,120.65,28.3,2020,9,1,0,29,23.2,71,0,310,2.4,38.1
饶平,59313,23.6794,116.9861,44.7,2020,9,1,0,29.5,25.4,79,0,342,1.3,36.1
从化,59285,23.5686,113.6156,38.1,2020,9,1,0,28,27.1,95,0,243,0.9,30.7
嘉鱼,57583,29.9167,113.9667,61.7,2020,9,1,0,27.5,22.2,73,0,357,2.7,33.3
宜章,57976,25.4058,112.9406,222.8,2020,9,1,0,27,23,79,0,289,1.4,30.9
洞口,57758,27.0253,110.6064,339.5,2020,9,1,0,23.6,20.7,84,0,190,0.9,27.7
文昌,59856,19.6167,110.75,21.7,2020,9,1,0,27.5,25.7,90,0,234,1.2,31.9
富宁,59205,23.6325,105.6286,685.8,2020,9,1,0,22.1,21.9,99,0,290,0.6,25.2
大方,57708,27.1314,105.5989,1721.5,2020,9,1,0,17,16.5,97,0,137,1.2,20.1
华宁,56879,24.19,102.9094,1702.6,2020,9,1,0,14.4,14.4,100,0,66,0.7,17.6
资中,56393,29.7667,104.85,369.4,2020,9,1,0,22.2,20.3,89,0,329,1.3,23.1
紫云,57910,25.7667,106.0833,1197.6,2020,9,1,0,21.6,19.3,87,0,163,0.7,24.1
晋宁,56871,24.6808,102.5742,1979.2001,2020,9,1,0,14.8,13.5,92,0,278,0.9,16.2
都匀,57827,26.3228,107.5139,967.7,2020,9,1,0,20.2,18,87,0,27,3.9,22.4
新宁,57851,26.4603,110.8344,346.1,2020,9,1,0,22.6,20.1,86,0,258,1.3,30.5
毕节,57707,27.2975,105.2886,1510.6,2020,9,1,0,18.5,16.7,89,0,281,1,23
鹿寨,59045,24.5,109.7833,131.5,2020,9,1,0,26.9,21.9,74,0,3,1.1,31.5
美姑,56487,28.3333,103.1333,1943.9,2020,9,1,0,16.8,16.8,100,0,315,1,18.6
铜梁,57510,29.85,106.0667,326.3,2020,9,1,0,24,21.9,88,0,20,2.2,28.2
忻城,59038,24.0167,108.65,147.5,2020,9,1,0,25.2,24,93,0,96,1,29.5
平远,59106,24.5625,115.8706,200.8,2020,9,1,0,25.7,24.1,91,0,283,1,31.5
上林,59235,23.3833,108.6167,140.3,2020,9,1,0,26.7,23,80,0,73,1.6,30.4
